emp_no,first_name,last_name,title,dept_name,from_date,to_date
41357,Willard,Vernadat,Engineer,Development,1997-03-04,9999-01-01
41518,Keung,Schapiro,Senior Engineer,Production,2001-02-08,9999-01-01
41520,Xiong,Uhrik,Senior Engineer,Development,1988-03-21,9999-01-01
41609,Yucai,Simmen,Senior Staff,Sales,1987-10-13,9999-01-01
42778,Shuji,Remmers,Senior Staff,Human Resources,1987-12-18,9999-01-01
42911,Brigham,Eterovic,Engineer,Production,1994-10-08,9999-01-01
42950,Shaleah,Eickenmeyer,Senior Staff,Research,1993-10-09,9999-01-01
42955,Yucel,Lortz,Engineer,Quality Management,1995-02-21,9999-01-01
43154,Maha,Waterhouse,Senior Staff,Finance,1997-07-04,9999-01-01
43733,Huei,Boguraev,Senior Staff,Human Resources,1993-12-31,9999-01-01
43848,Phillip,Oxenboll,Engineer,Production,1999-05-26,9999-01-01
44054,Alenka,Ritcey,Engineer,Development,1997-02-09,9999-01-01
44265,Maria,Eppinger,Engineer,Development,1997-01-30,9999-01-01
44540,Mingzeng,Sadowski,Senior Engineer,Development,1989-11-12,9999-01-01
44900,Mark,Schwaller,Senior Staff,Marketing,1994-08-10,9999-01-01
44959,Volkmar,Uhrik,Engineer,Production,1988-01-16,9999-01-01
44962,Sariel,Wynblatt,Assistant Engineer,Development,1996-05-18,9999-01-01
45162,Dulce,Speel,Engineer,Development,1987-10-19,9999-01-01
46000,Zhaofang,Penn,Senior Staff,Customer Service,1997-07-24,9999-01-01
46328,Wuxu,Trogemann,Senior Staff,Sales,1997-01-27,9999-01-01
46811,Junsik,Berendt,Senior Engineer,Production,1988-04-27,9999-01-01
46834,Tooru,Daescu,Senior Staff,Sales,1998-03-20,9999-01-01
46943,Pasqua,Maraist,Engineer,Development,1993-12-06,9999-01-01
47016,Toong,Litecky,Senior Staff,Customer Service,1989-03-01,9999-01-01
47139,Marco,Usdin,Engineer,Development,1996-10-29,9999-01-01
47262,Gonzalo,Binkley,Engineer,Development,1985-08-16,9999-01-01
47515,Naraig,Jenevein,Senior Engineer,Development,1987-01-18,9999-01-01
47702,Juyoung,Vieri,Senior Staff,Sales,1991-08-12,9999-01-01
47708,Edwin,Haldar,Senior Staff,Marketing,1995-07-12,9999-01-01
48275,Sariel,Massonet,Senior Staff,Sales,1987-11-20,9999-01-01
48690,Hitomi,Schaap,Staff,Human Resources,1999-09-27,9999-01-01
48882,Leen,Lamparter,Engineer,Production,1993-06-07,9999-01-01
48904,Yuichiro,Malabarba,Senior Staff,Finance,1994-03-07,9999-01-01
48947,Filipp,Akaboshi,Senior Staff,Sales,1992-05-20,9999-01-01
49010,Kazuhisa,Benantar,Senior Staff,Marketing,1990-03-30,9999-01-01
49017,Filipp,Flanders,Engineer,Development,1990-11-26,9999-01-01
49119,Lena,Peek,Engineer,Production,1991-05-16,9999-01-01
49177,Tze,Bach,Engineer,Production,1999-03-09,9999-01-01
49464,Siddarth,Cappelletti,Staff,Sales,1999-09-10,9999-01-01
49477,Baocai,Leaver,Senior Staff,Human Resources,1998-08-05,9999-01-01
50293,Xinan,Rindone,Engineer,Production,1996-10-08,9999-01-01
50311,Mooi,Stafford,Senior Engineer,Quality Management,1996-10-06,9999-01-01
50453,Aron,Harbusch,Staff,Finance,1997-10-02,9999-01-01
50670,Boguslaw,Snedden,Senior Staff,Marketing,1985-02-20,9999-01-01
50831,Marie,Khalid,Senior Engineer,Production,1996-06-11,9999-01-01
51036,Chriss,Fasbender,Staff,Sales,1995-05-23,9999-01-01
51057,Theirry,Albarhamtoshy,Senior Staff,Marketing,1991-09-27,9999-01-01
51060,Youngkon,Rohrbach,Engineer,Development,1989-10-20,9999-01-01
51142,Rosine,Lakshmanan,Engineer,Development,1986-01-31,9999-01-01
52038,Chikako,Armand,Senior Engineer,Production,1985-05-18,9999-01-01
52040,Phule,Heijenga,Senior Staff,Development,1996-12-08,9999-01-01
52283,Trygve,Krupka,Senior Staff,Research,1994-03-11,9999-01-01
52386,Adas,Denti,Senior Staff,Sales,1986-05-30,9999-01-01
52590,Jouni,Munoz,Senior Staff,Development,1996-10-07,9999-01-01
52599,Augustine,Mungall,Engineer,Customer Service,1994-01-13,9999-01-01
52639,Arup,Colorni,Senior Staff,Sales,1996-02-05,9999-01-01
52770,Shugo,Yurek,Senior Staff,Sales,1992-08-28,9999-01-01
52778,Alain,Penn,Technique Leader,Quality Management,1986-05-03,9999-01-01
52956,Khalil,Picci,Engineer,Quality Management,1998-11-24,9999-01-01
52970,Lobel,Werthner,Engineer,Production,1988-03-17,9999-01-01
53278,Premsyl,Lortz,Senior Staff,Sales,1993-02-01,9999-01-01
53314,Eberhardt,Carrera,Staff,Research,1999-02-23,9999-01-01
53431,Sham,Vasanthakumar,Senior Staff,Customer Service,1993-05-24,9999-01-01
53499,Zdislav,Mandelberg,Engineer,Production,1994-09-11,9999-01-01
53597,Jiafu,Marchegay,Engineer,Development,1985-03-02,9999-01-01
53874,Bodo,Schade,Senior Staff,Marketing,1986-02-14,9999-01-01
53924,Arnould,Gaughan,Engineer,Production,1991-01-23,9999-01-01
54198,Shaowen,Segond,Engineer,Development,1986-01-06,9999-01-01
54632,Etsuo,Serot,Senior Staff,Finance,1989-06-14,9999-01-01
54795,Sumant,Nergos,Senior Staff,Production,1994-03-02,9999-01-01
54800,Breannda,Cangellaris,Staff,Sales,2000-01-27,9999-01-01
55640,Adit,Syrotiuk,Engineer,Production,1993-07-16,9999-01-01
55687,Shih,Lindqvist,Senior Engineer,Development,1995-03-29,9999-01-01
55799,Jianwen,Litzler,Engineer,Production,1987-06-17,9999-01-01
55857,Adin,Scallan,Senior Staff,Sales,1987-09-15,9999-01-01
56105,Makato,Remmers,Engineer,Development,1989-04-16,9999-01-01
56209,Remzi,Douceur,Engineer,Production,1992-12-01,9999-01-01
56415,Sigeru,Nivat,Senior Staff,Finance,1991-10-24,9999-01-01
56428,Olivera,Hanabata,Senior Staff,Sales,1986-11-10,9999-01-01
56682,Roded,Picco,Assistant Engineer,Development,1993-11-06,9999-01-01
56829,Nagui,Gruenwald,Engineer,Quality Management,1997-06-14,9999-01-01
56847,Menkae,Chinin,Senior Engineer,Quality Management,1998-08-27,9999-01-01
57934,Sanjoy,Boudaillier,Engineer,Development,1989-12-27,9999-01-01
58141,Bezalel,Karner,Staff,Finance,1994-09-27,9999-01-01
58147,Shigenori,Sullins,Senior Staff,Marketing,1988-02-24,9999-01-01
58384,Mariusz,Vural,Engineer,Development,1993-11-14,9999-01-01
58454,Ziya,Zambonelli,Engineer,Production,1999-06-29,9999-01-01
58497,Yechiam,Cairo,Senior Staff,Marketing,2000-10-21,9999-01-01
58819,Gennady,Liesche,Senior Staff,Sales,1987-12-02,9999-01-01
58990,Palash,Trelles,Engineer,Development,1998-11-18,9999-01-01
59195,Ronnie,Pollock,Technique Leader,Development,1990-06-19,9999-01-01
59640,Zita,Hiltgen,Staff,Finance,1999-01-26,9999-01-01
59869,Zsolt,Riefers,Senior Staff,Marketing,1987-09-25,9999-01-01
59966,Steen,Salvesen,Technique Leader,Production,1993-02-03,9999-01-01
60000,Heekeun,Emmart,Assistant Engineer,Development,1995-09-23,9999-01-01
60091,Surveyors,Bade,Senior Staff,Customer Service,1990-04-11,9999-01-01
60238,Erzsebet,Claffy,Staff,Marketing,1999-02-19,9999-01-01
60559,Jeanna,Stemann,Engineer,Production,1988-08-29,9999-01-01
60821,Moty,Mersereau,Senior Staff,Human Resources,1991-09-03,9999-01-01
60845,Bedir,Siegrist,Engineer,Production,1997-05-13,9999-01-01
60875,Rildo,Masaki,Engineer,Quality Management,1990-01-14,9999-01-01
60959,Tetsushi,Sridhar,Senior Staff,Marketing,1989-10-19,9999-01-01
61147,Leszek,Werthner,Staff,Marketing,1999-03-03,9999-01-01
61253,Cheong,Uhrik,Engineer,Research,2002-05-09,9999-01-01
61377,Dannz,Ohori,Senior Staff,Production,1997-04-13,9999-01-01
61541,Kasidit,Papsdorf,Engineer,Development,1993-08-17,9999-01-01
61873,Woody,Rusmann,Assistant Engineer,Quality Management,1993-02-26,9999-01-01
62033,Heeju,Cappelli,Engineer,Production,1987-01-15,9999-01-01
62046,Karlis,Nanard,Engineer,Production,1992-09-19,9999-01-01
62245,Adel,Bressoud,Engineer,Development,1995-08-30,9999-01-01
63294,Tetsushi,Tanemo,Engineer,Production,1997-03-01,9999-01-01
63419,Hiroyasu,Seuren,Senior Engineer,Production,1989-03-05,9999-01-01
63441,Hinrich,Scallan,Staff,Human Resources,1999-04-04,9999-01-01
63566,Heekeun,Slaats,Senior Staff,Sales,1999-01-12,9999-01-01
63631,Falguni,Cherinka,Senior Engineer,Customer Service,1987-10-15,9999-01-01
63706,Sedat,Itzigehl,Engineer,Development,1997-07-31,9999-01-01
64023,Laurentiu,Benzmuller,Senior Engineer,Development,1999-11-08,9999-01-01
64209,Golgen,Schoegge,Senior Staff,Customer Service,1988-02-26,9999-01-01
64487,Tsutomu,Rebaine,Engineer,Quality Management,1986-09-17,9999-01-01
64532,Atilio,Segond,Engineer,Production,1990-11-29,9999-01-01
64632,Zsolt,Brender,Senior Staff,Sales,1996-02-21,9999-01-01
64790,Shin,Piveteau,Engineer,Development,1985-04-19,9999-01-01
64828,Krister,Pappas,Staff,Sales,1999-09-30,9999-01-01
64984,Eldridge,Eldridge,Engineer,Quality Management,1994-08-04,9999-01-01
65171,Jeane,Tasistro,Technique Leader,Production,1994-07-06,9999-01-01
65539,Aksel,Picaronny,Engineer,Development,1991-01-27,9999-01-01
65883,Patricia,Pepe,Senior Staff,Sales,1991-04-19,9999-01-01
65998,Mandell,Alameldin,Senior Staff,Sales,1989-04-08,9999-01-01
66382,Domenico,Candan,Engineer,Production,1997-07-13,9999-01-01
66530,Dung,Leaver,Staff,Research,1998-04-04,9999-01-01
66643,Jianhao,Tomescu,Engineer,Production,1996-08-26,9999-01-01
66702,Deniz,Thibadeau,Engineer,Development,1994-09-27,9999-01-01
66757,Yonghong,Baig,Staff,Marketing,1999-04-10,9999-01-01
66807,Aiman,Rosaz,Engineer,Development,1990-05-22,9999-01-01
67320,Sadok,Lorys,Senior Staff,Marketing,1987-05-10,9999-01-01
67548,Fumitaka,Roohalamini,Staff,Human Resources,1998-06-27,9999-01-01
67934,Aiman,Gargeya,Engineer,Production,1985-03-07,9999-01-01
68416,Munenori,Debuse,Senior Engineer,Production,1990-11-08,9999-01-01
68608,Yucai,Seghrouchni,Engineer,Production,1989-06-09,9999-01-01
68633,Chinhyun,Rassart,Senior Engineer,Production,1993-07-29,9999-01-01
68648,Jaques,DiGiano,Technique Leader,Development,1992-04-01,9999-01-01
69052,Shietung,Shrader,Senior Staff,Sales,1995-08-05,9999-01-01
69219,Shuky,Redmiles,Senior Staff,Marketing,1994-11-19,9999-01-01
69867,Miyeon,Rothe,Senior Staff,Sales,1991-04-09,9999-01-01
69878,Chinya,Cooke,Engineer,Development,1997-01-29,9999-01-01
69936,Lalit,Unni,Assistant Engineer,Production,1999-01-31,9999-01-01
70469,Tru,Miyakawa,Senior Staff,Marketing,1990-09-03,9999-01-01
70990,Arumugam,Nitta,Senior Engineer,Production,1990-03-23,9999-01-01
71066,Domenick,Basart,Senior Staff,Sales,1996-01-05,9999-01-01
71141,Sajjad,Vitiello,Senior Staff,Human Resources,1992-02-17,9999-01-01
71188,Pranjal,Schapiro,Senior Staff,Sales,1986-12-14,9999-01-01
71243,Kinh,Buchter,Engineer,Production,1986-03-29,9999-01-01
71334,Cathie,Peck,Engineer,Research,2001-03-04,9999-01-01
71685,Kristinn,Olano,Senior Engineer,Production,1989-10-03,9999-01-01
71710,Hitomi,Takanami,Assistant Engineer,Development,1997-12-15,9999-01-01
71745,Adil,Laventhal,Assistant Engineer,Development,1992-05-13,9999-01-01
72190,Sajjad,Waeselynck,Engineer,Development,1999-09-13,9999-01-01
72194,Feiyu,Siepmann,Senior Engineer,Production,1998-10-01,9999-01-01
72232,Naraig,Veldwijk,Engineer,Quality Management,1989-07-10,9999-01-01
72640,Honglan,Hutton,Engineer,Quality Management,1993-10-04,9999-01-01
72918,Takahira,Szilard,Senior Staff,Sales,1988-01-16,9999-01-01
73076,Froduald,Feldhoffer,Senior Engineer,Development,1993-03-16,9999-01-01
73233,Shigeo,Merey,Senior Engineer,Production,1985-07-30,9999-01-01
73516,Qingxiang,Badache,Engineer,Production,1989-06-25,9999-01-01
73743,Anneke,Bernardeschi,Engineer,Customer Service,2000-10-15,9999-01-01
74200,Holgard,Weiland,Senior Engineer,Production,1991-09-24,9999-01-01
74344,Hiroyasu,Provine,Engineer,Development,1994-11-25,9999-01-01
74668,Masako,Bonifati,Senior Staff,Sales,1987-04-09,9999-01-01
74800,Yuuichi,Conde,Assistant Engineer,Production,1989-03-08,9999-01-01
75354,Shuky,Jakobus,Engineer,Development,1986-06-16,9999-01-01
75703,Kyoichi,Erman,Engineer,Development,1996-07-25,9999-01-01
76189,Kolar,Hinsberger,Engineer,Production,1986-10-20,9999-01-01
76201,Arif,Preusig,Senior Engineer,Development,1992-04-02,9999-01-01
76640,Tristan,Mitsuhashi,Engineer,Quality Management,1994-07-13,9999-01-01
77030,Faiza,Garnham,Technique Leader,Development,1986-03-02,9999-01-01
77303,Xinglin,Birge,Senior Staff,Customer Service,1992-03-05,9999-01-01
77647,Niranjan,Schaaf,Technique Leader,Production,1989-11-05,9999-01-01
77815,Ronghao,Picaronny,Assistant Engineer,Development,1993-06-09,9999-01-01
78106,Ashish,Ratnaker,Senior Staff,Marketing,2000-01-17,9999-01-01
78363,Susumu,Fritzsche,Engineer,Quality Management,1998-06-23,9999-01-01
78469,Leucio,Cappelli,Staff,Human Resources,1997-08-22,9999-01-01
78871,Conor,Ghandeharizadeh,Senior Engineer,Development,1985-05-25,9999-01-01
79043,Katsuo,Hockney,Technique Leader,Production,1999-11-07,9999-01-01
79171,Guiseppe,Ellozy,Senior Engineer,Production,1991-01-12,9999-01-01
79310,Jeong,Cunliffe,Senior Staff,Marketing,1996-10-27,9999-01-01
79606,Arnd,Peir,Senior Engineer,Development,1986-12-11,9999-01-01
79763,Sanjoy,Barreiro,Senior Staff,Marketing,1988-04-09,9999-01-01
79895,Fei,Murtagh,Senior Staff,Sales,1986-01-19,9999-01-01
80067,Kazuhisa,Weiland,Senior Staff,Customer Service,1985-11-09,9999-01-01
80203,Shakhar,Baik,Staff,Sales,1993-12-01,9999-01-01
80432,Stella,Figueira,Senior Staff,Research,1990-03-14,9999-01-01
80731,Shaowen,Eldridge,Senior Staff,Sales,1987-12-05,9999-01-01
80850,Koldo,Luit,Engineer,Production,1995-04-16,9999-01-01
80889,Shigeo,Linnainmaa,Senior Engineer,Development,1985-07-30,9999-01-01
80948,Harjit,Bardell,Engineer,Development,1991-05-24,9999-01-01
81105,Jaewon,Boissier,Engineer,Development,1992-05-24,9999-01-01
81545,Larisa,Kornyak,Technique Leader,Development,2000-02-07,9999-01-01
81644,Divine,Ghandeharizadeh,Staff,Sales,1997-11-28,9999-01-01
81995,Sreekrishna,Brender,Engineer,Development,1990-03-22,9999-01-01
82069,Yechezkel,Perfilyeva,Engineer,Production,1994-11-03,9999-01-01
82098,Poornachandra,Wilharm,Engineer,Production,1991-04-20,9999-01-01
82351,Stevo,Thambidurai,Senior Staff,Human Resources,1989-10-27,9999-01-01
82511,Uwe,Koblick,Engineer,Development,1998-04-04,9999-01-01
82919,Shigeu,Claffy,Engineer,Development,1998-12-19,9999-01-01
82928,Alselm,Rikino,Engineer,Development,1990-11-16,9999-01-01
83280,Francesca,Ellozy,Senior Engineer,Production,1999-08-08,9999-01-01
83289,Shigeichiro,Engelmann,Engineer,Development,1994-01-09,9999-01-01
83509,Breannda,Collavizza,Engineer,Development,1989-10-12,9999-01-01
83544,Leaf,Baak,Senior Staff,Sales,1994-09-05,9999-01-01
83714,Ohad,Kilgore,Engineer,Customer Service,2000-10-10,9999-01-01
83805,Manohar,Harllee,Senior Engineer,Development,1987-03-11,9999-01-01
83941,Zsolt,Hagimont,Senior Staff,Research,1996-10-08,9999-01-01
84029,Babette,Eugenio,Staff,Customer Service,1997-09-21,9999-01-01
84179,Shuichi,Nanard,Senior Engineer,Production,1989-03-14,9999-01-01
84236,Eberhardt,Barriga,Senior Staff,Sales,1987-06-04,9999-01-01
84315,Kristina,Baumann,Assistant Engineer,Development,1996-09-26,9999-01-01
84451,Shiv,Aumann,Senior Engineer,Development,1998-06-14,9999-01-01
84508,Tommaso,Vidya,Engineer,Development,1998-05-02,9999-01-01
84840,Sverrir,Neimat,Staff,Research,1996-11-03,9999-01-01
84922,Parke,Unno,Engineer,Development,1996-07-01,9999-01-01
